Artist,WikiLink,Genre
1 Girl Nation,1_Girl_Nation,Dance Pop
13 Stories,13_Stories,Dance Pop
2 Unlimited,2_Unlimited,Dance Pop
3OH!3,3OH!3,Dance Pop
Paula Abdul,Paula_Abdul,Dance Pop
Ace of Base,Ace_of_Base,Dance Pop
Christina Aguilera,Christina_Aguilera,Dance Pop
Alcazar,Alcazar_(band),Dance Pop
AlunaGeorge,AlunaGeorge,Dance Pop
A-L-X,A-L-X,Dance Pop
Ambitious Lovers,Ambitious_Lovers,Dance Pop
Anastacia,Anastacia,Dance Pop
Annie,Annie_(Norwegian_singer),Dance Pop
Aqua,Aqua_(band),Dance Pop
David Archuleta,David_Archuleta,Dance Pop
Tina Arena,Tina_Arena,Dance Pop
Army of Lovers,Army_of_Lovers,Dance Pop
Rick Astley,Rick_Astley,Dance Pop
Atomic Kitten,Atomic_Kitten,Dance Pop
The Attic,The_Attic_(band),Dance Pop
Audio Playground,Audio_Playground,Dance Pop
Aurora,Aurora_(Christian_band),Dance Pop
Avicii,Avicii,Dance Pop
Axé Bahia,Axé_Bahia,Dance Pop
B*Witched,B*Witched,Dance Pop
Backstreet Boys,Backstreet_Boys,Dance Pop
Bad Boys Blue,Bad_Boys_Blue,Dance Pop
Zoë Badwi,Zoë_Badwi,Dance Pop
Bananarama,Bananarama,Dance Pop
Banghra,Banghra,Dance Pop
Azealia Banks,Azealia_Banks,Dance Pop
Bardeux,Bardeux,Dance Pop
Basement Jaxx,Basement_Jaxx,Dance Pop
Bastille,Bastille_(band),Dance Pop
Daniel Bedingfield,Daniel_Bedingfield,Dance Pop
The Beloved,The_Beloved_(band),Dance Pop
Betty Who,Betty_Who,Dance Pop
Black Eyed Peas,Black_Eyed_Peas,Dance Pop
Beyoncé,Beyoncé,Dance Pop
Justin Bieber,Justin_Bieber,Dance Pop
The Black Eyed Peas,The_Black_Eyed_Peas,Dance Pop
Black Kids,Black_Kids,Dance Pop
Blood Orange,Dev_Hynes#Blood_Orange,Dance Pop
Bloodshy & Avant,Bloodshy_&_Avant,Dance Pop
The Boomtang Boys,The_Boomtang_Boys,Dance Pop
La Bouche,La_Bouche,Dance Pop
David Bowie,David_Bowie,Dance Pop
Brazilian Girls,Brazilian_Girls,Dance Pop
Bronski Beat,Bronski_Beat,Dance Pop
Chris Brown,Chris_Brown,Dance Pop
Havana Brown,Havana_Brown_(musician),Dance Pop
Emma Bunton,Emma_Bunton,Dance Pop
C+C Music Factory,C+C_Music_Factory,Dance Pop
Can-linn,Can-linn,Dance Pop
Mariah Carey,Mariah_Carey,Dance Pop
Caribou,Dan_Snaith,Dance Pop
Dina Carroll,Dina_Carroll,Dance Pop
Aaron Carter,Aaron_Carter,Dance Pop
Cascada,Cascada,Dance Pop
Cause and Effect,Cause_and_Effect_(band),Dance Pop
Charli XCX,Charli_XCX,Dance Pop
Cher,Cher,Dance Pop
Neneh Cherry,Neneh_Cherry,Dance Pop
China Doll,China_Doll_(band),Dance Pop
Ciara,Ciara,Dance Pop
Classixx,Classixx,Dance Pop
Clean Bandit,Clean_Bandit,Dance Pop
Cobra Starship,Cobra_Starship,Dance Pop
Kimberly Cole,Kimberly_Cole,Dance Pop
The Communards,The_Communards,Dance Pop
Company B,Company_B_(band),Dance Pop
Ida Corr,Ida_Corr,Dance Pop
The Cover Girls,The_Cover_Girls,Dance Pop
Taio Cruz,Taio_Cruz,Dance Pop
Cut Copy,Cut_Copy,Dance Pop
Da Pump,Da_Pump,Dance Pop
Taylor Dayne,Taylor_Dayne,Dance Pop
DB Boulevard,DB_Boulevard,Dance Pop
Dead Disco,Dead_Disco,Dance Pop
Dead or Alive,Dead_or_Alive_(band),Dance Pop
Dee Dee,Dee_Dee_(band),Dance Pop
Deee-Lite,Deee-Lite,Dance Pop
Delorean,Delorean_(band),Dance Pop
Kat DeLuna,Kat_DeLuna,Dance Pop
Destiny's Child,Destiny's_Child,Dance Pop
Deuce,Deuce_(band),Dance Pop
Dev,Dev_(singer),Dance Pop
DHT,DHT_(band),Dance Pop
Celine Dion,Celine_Dion,Dance Pop
Disclosure,Disclosure_(band),Dance Pop
DJ BoBo,DJ_BoBo,Dance Pop
DJ Encore,DJ_Encore,Dance Pop
Dubstar,Dubstar,Dance Pop
Hilary Duff,Hilary_Duff,Dance Pop
Stacy Earl,Stacy_Earl,Dance Pop
East 17,East_17,Dance Pop
Eiffel 65,Eiffel_65,Dance Pop
Sophie Ellis-Bextor,Sophie_Ellis-Bextor,Dance Pop
Empire of the Sun,Empire_of_the_Sun_(band),Dance Pop
Jocelyn Enriquez,Jocelyn_Enriquez,Dance Pop
Gloria Estefan,Gloria_Estefan,Dance Pop
Everything Everything,Everything_Everything,Dance Pop
Exposé,Exposé_(group),Dance Pop
Sky Ferreira,Sky_Ferreira,Dance Pop
Fifth Harmony,Fifth_Harmony,Dance Pop
Five,Five_(band),Dance Pop
Flo Rida,Flo_Rida,Dance Pop
Foster the People,Foster_the_People,Dance Pop
Samantha Fox,Samantha_Fox,Dance Pop
Frankie Goes to Hollywood,Frankie_Goes_to_Hollywood,Dance Pop
Fun Factory,Fun_Factory_(band),Dance Pop
Debbie Gibson,Debbie_Gibson,Dance Pop
Girls Aloud,Girls_Aloud,Dance Pop
globe,Globe_(band),Dance Pop
The Go! Team,The_Go!_Team_(UK_band),Dance Pop
Selena Gomez,Selena_Gomez,Dance Pop
Wynter Gordon,Wynter_Gordon,Dance Pop
Gorillaz,Gorillaz,Dance Pop
Ellie Goulding,Ellie_Goulding,Dance Pop
Ariana Grande,Ariana_Grande,Dance Pop
David Guetta,David_Guetta,Dance Pop
Her Majesty & the Wolves,Her_Majesty_&_the_Wolves,Dance Pop
Paris Hilton,Paris_Hilton,Dance Pop
Hurts,Hurts,Dance Pop
Innosense,Innosense,Dance Pop
La Toya Jackson,La_Toya_Jackson,Dance Pop
Janet Jackson,Janet_Jackson,Dance Pop
Michael Jackson,Michael_Jackson,Dance Pop
Samantha James,Samantha_James,Dance Pop
Jewel,Jewel_(singer),Dance Pop
Joée,Joée,Dance Pop
Joy,Joy_(Austrian_band),Dance Pop
Jump5,Jump5,Dance Pop
Junior Senior,Junior_Senior,Dance Pop
