Artist,WikiLink,Genre
100s,100s_(rapper),West Coast
187 Fac,187_Fac,West Coast
213,213_(group),West Coast
2Mex,2Mex,West Coast
2nd II None,2nd_II_None,West Coast
2Pac,2Pac,West Coast
3X Krazy,3X_Krazy,West Coast
Ab-Soul,Ab-Soul,West Coast
Above the Law,Above_the_Law_(group),West Coast
Aceyalone,Aceyalone,West Coast
Ahmad,Ahmad_(rapper),West Coast
Alchemist,Alchemist_(producer),West Coast
Amin\u00e9,Amin\u00e9,West Coast
Andre Nickatina,Andre_Nickatina,West Coast
Anotha Level,Anotha_Level,West Coast
Arabian Prince,Arabian_Prince,West Coast
Akwid,Akwid,West Coast
B.G. Knocc Out,B.G._Knocc_Out,West Coast
B-Legit,B-Legit,West Coast
B-Real,B-Real,West Coast
Bad Azz,Bad_Azz_(rapper),West Coast
Beautiful Eulogy,Beautiful_Eulogy,West Coast
Berner,Berner_(rapper),West Coast
Big Syke,Big_Syke,West Coast
Bishop Lamont,Bishop_Lamont,West Coast
Black Eyed Peas,Black_Eyed_Peas,West Coast
Black Hippy,Black_Hippy,West Coast
Blackalicious,Blackalicious,West Coast
Bloods & Crips,Bloods_&_Crips,West Coast
Blu,Blu_(rapper),West Coast
Blu & Exile,Blu_&_Exile,West Coast
Blueface,Blueface,West Coast
Bohemia,Bohemia_(musician),West Coast
Bone Thugs-N-Harmony,Bone_Thugs-N-Harmony,West Coast
Boogie,Boogie,West Coast
Braille,Braille_(rapper),West Coast
Brainwash Projects,Brainwash_Projects,West Coast
Brotha Lynch Hung,Brotha_Lynch_Hung,West Coast
Brownside,Brownside,West Coast
Butch Cassidy,Butch_Cassidy_(singer),West Coast
C-BO,C-BO,West Coast
CJ Mac,CJ_Mac,West Coast
Capital Punishment Organization,Capital_Punishment_Organization,West Coast
Casey Veggies,Casey_Veggies,West Coast
Cashis,Cashis,West Coast
Celly Cel,Celly_Cel,West Coast
Clyde Carson,Clyde_Carson,West Coast
Cold 187um a.k.a. Big Hutch,Cold_187um,West Coast
College Boyz,College_Boyz,West Coast
Compton's Most Wanted,Compton's_Most_Wanted,West Coast
Coolio,Coolio,West Coast
Cool Nutz,Cool_Nutz,West Coast
Cozz,Cozz,West Coast
Cougnut,Cougnut,West Coast
Crooked I,Crooked_I,West Coast
Chilly Chill,Chilly_Chill,West Coast
Charizma,Charizma,West Coast
DJ Mustard,DJ_Mustard,West Coast
DJ Pooh,DJ_Pooh,West Coast
DJ Quik,DJ_Quik,West Coast
DJ Shadow,DJ_Shadow,West Coast
DJ Yella,DJ_Yella,West Coast
D-Shot,D-Shot,West Coast
Da Lench Mob,Da_Lench_Mob,West Coast
Darkroom Familia,Darkroom_Familia,West Coast
Daz Dillinger,Daz_Dillinger,West Coast
Death Grips,Death_Grips,West Coast
Del the Funky Homosapien,Del_the_Funky_Homosapien,West Coast
Delinquent Habits,Delinquent_Habits,West Coast
Delyric Oracle,Delyric_Oracle,West Coast
Digital Underground,Digital_Underground,West Coast
Dilated Peoples,Dilated_Peoples,West Coast
Dizzy Wright,Dizzy_Wright,West Coast
Doggy's Angels,Doggy's_Angels,West Coast
Doja Cat,Doja_Cat,West Coast
Dom Kennedy,Dom_Kennedy,West Coast
Domino,Domino_(rapper),West Coast
Domo Genesis,Domo_Genesis,West Coast
Dr. Dre,Dr._Dre,West Coast
Dresta,Dresta,West Coast
Dru Down,Dru_Down,West Coast
